hash_type,transform,example_input,result_emojis,result,model_input,failed_inputs,errors
sha384,dash,Hello world,❌❌❌✅,fffp,input/incoder/hash/85.txt,"[[""'9203b0c4439fd1e6ae5878866337b7c532acd6d9260150c80318e8ab8c27ce330189f8df94fb890df1d298ff360627e1'"", ""'ff3917192427ea1aa7f3ad47ac10152d179af30126c52835ee8dc7e6ea12aed91ad91b316e15c3b250469ef17a03e529'""], [""'88150c051d8e510ce8390aacc47aeba54b5530224e63216716fb69d056ecba62eedd86a3b455ddc617701142ae122638'"", ""'0f45ea29ed3485272aa56b7bad8bb96eb6a9e5745d6fb9675f09c60f89f393e5e96d754aae51eef3f0466e52e589f2a0'""], [""'a8b64babd0aca91a59bdbb7761b421d4f2bb38280d3a75ba0f21f2bebc45583d446c598660c94ce680c47d19c30783a7'"", ""'9c1565e99afa2ce7800e96a73c125363c06697c5674d59f227b3368fd00b85ead506eefa90702673d873cb2c9357eafc'""]]",[]
sha384,dash,Hallo welt,❌❌❌✅,fffp,input/incoder/hash/86.txt,"[[""'9203b0c4439fd1e6ae5878866337b7c532acd6d9260150c80318e8ab8c27ce330189f8df94fb890df1d298ff360627e1'"", ""'ff3917192427ea1aa7f3ad47ac10152d179af30126c52835ee8dc7e6ea12aed91ad91b316e15c3b250469ef17a03e529'""], [""'88150c051d8e510ce8390aacc47aeba54b5530224e63216716fb69d056ecba62eedd86a3b455ddc617701142ae122638'"", ""'0f45ea29ed3485272aa56b7bad8bb96eb6a9e5745d6fb9675f09c60f89f393e5e96d754aae51eef3f0466e52e589f2a0'""], [""'a8b64babd0aca91a59bdbb7761b421d4f2bb38280d3a75ba0f21f2bebc45583d446c598660c94ce680c47d19c30783a7'"", ""'9c1565e99afa2ce7800e96a73c125363c06697c5674d59f227b3368fd00b85ead506eefa90702673d873cb2c9357eafc'""]]",[]
sha384,dash,0,❌❌❌✅,fffp,input/incoder/hash/87.txt,"[[""'9203b0c4439fd1e6ae5878866337b7c532acd6d9260150c80318e8ab8c27ce330189f8df94fb890df1d298ff360627e1'"", ""'ff3917192427ea1aa7f3ad47ac10152d179af30126c52835ee8dc7e6ea12aed91ad91b316e15c3b250469ef17a03e529'""], [""'88150c051d8e510ce8390aacc47aeba54b5530224e63216716fb69d056ecba62eedd86a3b455ddc617701142ae122638'"", ""'0f45ea29ed3485272aa56b7bad8bb96eb6a9e5745d6fb9675f09c60f89f393e5e96d754aae51eef3f0466e52e589f2a0'""], [""'a8b64babd0aca91a59bdbb7761b421d4f2bb38280d3a75ba0f21f2bebc45583d446c598660c94ce680c47d19c30783a7'"", ""'9c1565e99afa2ce7800e96a73c125363c06697c5674d59f227b3368fd00b85ead506eefa90702673d873cb2c9357eafc'""]]",[]
sha384,dash,sha1,❌❌❌✅,fffp,input/incoder/hash/88.txt,"[[""'9203b0c4439fd1e6ae5878866337b7c532acd6d9260150c80318e8ab8c27ce330189f8df94fb890df1d298ff360627e1'"", ""'ff3917192427ea1aa7f3ad47ac10152d179af30126c52835ee8dc7e6ea12aed91ad91b316e15c3b250469ef17a03e529'""], [""'88150c051d8e510ce8390aacc47aeba54b5530224e63216716fb69d056ecba62eedd86a3b455ddc617701142ae122638'"", ""'0f45ea29ed3485272aa56b7bad8bb96eb6a9e5745d6fb9675f09c60f89f393e5e96d754aae51eef3f0466e52e589f2a0'""], [""'a8b64babd0aca91a59bdbb7761b421d4f2bb38280d3a75ba0f21f2bebc45583d446c598660c94ce680c47d19c30783a7'"", ""'9c1565e99afa2ce7800e96a73c125363c06697c5674d59f227b3368fd00b85ead506eefa90702673d873cb2c9357eafc'""]]",[]
sha384,dash,md5,❌❌❌✅,fffp,input/incoder/hash/89.txt,"[[""'9203b0c4439fd1e6ae5878866337b7c532acd6d9260150c80318e8ab8c27ce330189f8df94fb890df1d298ff360627e1'"", ""'ff3917192427ea1aa7f3ad47ac10152d179af30126c52835ee8dc7e6ea12aed91ad91b316e15c3b250469ef17a03e529'""], [""'88150c051d8e510ce8390aacc47aeba54b5530224e63216716fb69d056ecba62eedd86a3b455ddc617701142ae122638'"", ""'0f45ea29ed3485272aa56b7bad8bb96eb6a9e5745d6fb9675f09c60f89f393e5e96d754aae51eef3f0466e52e589f2a0'""], [""'a8b64babd0aca91a59bdbb7761b421d4f2bb38280d3a75ba0f21f2bebc45583d446c598660c94ce680c47d19c30783a7'"", ""'9c1565e99afa2ce7800e96a73c125363c06697c5674d59f227b3368fd00b85ead506eefa90702673d873cb2c9357eafc'""]]",[]
sha512,none,,💀💀💀✅,eeep,input/incoder/hash/90.txt,[],"[""name 'sha512' is not defined"", ""name 'sha512' is not defined"", ""name 'sha512' is not defined""]"
sha512,none,Hello world,💀💀💀✅,eeep,input/incoder/hash/91.txt,[],"[""name 'sha512' is not defined"", ""name 'sha512' is not defined"", ""name 'sha512' is not defined""]"
sha512,none,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/92.txt,[],"[""name 'sha512' is not defined"", ""name 'sha512' is not defined"", ""name 'sha512' is not defined""]"
sha512,none,0,✅✅✅✅,pppp,input/incoder/hash/93.txt,[],[]
sha512,none,sha1,💀💀💀✅,eeep,input/incoder/hash/94.txt,[],"[""name 'sha512' is not defined"", ""name 'sha512' is not defined"", ""name 'sha512' is not defined""]"
sha512,none,md5,✅✅✅✅,pppp,input/incoder/hash/95.txt,[],[]
sha512,uppercase,,✅✅✅✅,pppp,input/incoder/hash/96.txt,[],[]
sha512,uppercase,Hello world,💀💀💀✅,eeep,input/incoder/hash/97.txt,[],"[""name 'sha512' is not defined"", ""name 'sha512' is not defined"", ""name 'sha512' is not defined""]"
sha512,uppercase,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/98.txt,[],"[""name 'sha512' is not defined"", ""name 'sha512' is not defined"", ""name 'sha512' is not defined""]"
sha512,uppercase,0,✅✅✅✅,pppp,input/incoder/hash/99.txt,[],[]
sha512,uppercase,sha1,💀💀💀✅,eeep,input/incoder/hash/100.txt,[],"[""name 'sha512' is not defined"", ""name 'sha512' is not defined"", ""name 'sha512' is not defined""]"
sha512,uppercase,md5,✅✅✅✅,pppp,input/incoder/hash/101.txt,[],[]
sha512,dash,,✅✅✅❌,pppf,input/incoder/hash/102.txt,"[[""None"", ""'cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e'""]]",[]
sha512,dash,Hello world,💀💀💀✅,eeep,input/incoder/hash/103.txt,[],"[""name 'sha512' is not defined"", ""name 'sha512' is not defined"", ""name 'sha512' is not defined""]"
sha512,dash,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/104.txt,[],"[""name 'sha512' is not defined"", ""name 'sha512' is not defined"", ""name 'sha512' is not defined""]"
sha512,dash,0,💀💀💀✅,eeep,input/incoder/hash/105.txt,[],"[""name 'sha512' is not defined"", ""name 'sha512' is not defined"", ""name 'sha512' is not defined""]"
