hash_type,transform,example_input,result_emojis,result,model_input,failed_inputs,errors
blake2s,dash,0,💀💀💀✅,eeep,input/codex/hash/141.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,dash,sha1,💀💀💀✅,eeep,input/codex/hash/142.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,dash,md5,💀💀💀✅,eeep,input/codex/hash/143.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
sha3_512,none,,✅✅✅✅,pppp,input/codex/hash/144.txt,[],[]
sha3_512,none,Hello world,✅✅✅✅,pppp,input/codex/hash/145.txt,[],[]
sha3_512,none,Hallo welt,✅✅✅✅,pppp,input/codex/hash/146.txt,[],[]
sha3_512,none,0,✅✅✅✅,pppp,input/codex/hash/147.txt,[],[]
sha3_512,none,sha1,✅✅✅✅,pppp,input/codex/hash/148.txt,[],[]
sha3_512,none,md5,✅✅✅✅,pppp,input/codex/hash/149.txt,[],[]
sha3_512,uppercase,,✅✅✅✅,pppp,input/codex/hash/150.txt,[],[]
sha3_512,uppercase,Hello world,✅✅✅✅,pppp,input/codex/hash/151.txt,[],[]
sha3_512,uppercase,Hallo welt,✅✅✅✅,pppp,input/codex/hash/152.txt,[],[]
sha3_512,uppercase,0,✅✅✅✅,pppp,input/codex/hash/153.txt,[],[]
sha3_512,uppercase,sha1,✅✅✅✅,pppp,input/codex/hash/154.txt,[],[]
sha3_512,uppercase,md5,✅✅✅✅,pppp,input/codex/hash/155.txt,[],[]
sha3_512,dash,,✅✅✅✅,pppp,input/codex/hash/156.txt,[],[]
sha3_512,dash,Hello world,✅✅✅✅,pppp,input/codex/hash/157.txt,[],[]
sha3_512,dash,Hallo welt,✅✅✅✅,pppp,input/codex/hash/158.txt,[],[]
sha3_512,dash,0,✅✅✅✅,pppp,input/codex/hash/159.txt,[],[]
sha3_512,dash,sha1,✅✅✅✅,pppp,input/codex/hash/160.txt,[],[]
sha3_512,dash,md5,✅✅✅✅,pppp,input/codex/hash/161.txt,[],[]
